name,verified_compounds,class_terms,unverified_candidates,candidate_list
almond,1,0,1,hexanal
ambrette,0,0,2,ambrettolide | macrocyclic musk lactone
anchovy,2,1,0,
angelica,0,1,1,beta-phellandrene
anise seed,2,0,0,
annatto,2,0,1,geranyl
apple,1,0,2,2-methylbutyl acetate | hexyl acetate
apple cider,0,1,2,fermentation adds acetic acid | trace ethanol — the tang amplifies the cut-fat principle vs fresh apple. apple-cider-glazed pork is built on this. sage shares pinene with apple
apple juice,0,1,1,the malic acid tenderizes pork while sugar caramelizes the surface
applesauce,0,2,1,sweet-acid
artichoke,1,0,0,
asparagus,0,0,3,asparagusic acid | dimethyl sulfide | methanethiol
avocado,1,1,0,
bacon,1,2,0,
baked potato,0,1,0,
balsamic vinegar,1,1,3,12-25 | commercial balsamic vinegar of modena is younger and less complex but retains the sweet-acid balance. the balsamic-strawberry pairing is shared | plus the textbook sweet-acid principle.
banana,2,0,0,
basil,4,0,0,
basmati rice,2,0,4,2ap | concentrations roughly 10x higher than ordinary white rice — same compound that gives jasmine rice its popcorn note. the indian basmati | is built on aromatic compound layering: 2ap | terpinyl acetate.
BBQ sauce,0,1,1,— but all share a sweet-acid-smoky base with tomato concentrate as common ground. the chemistry-pairing pattern is consistent across styles: cut-fat against pork
beef,0,2,0,
beer,0,2,0,
bergamot,3,0,0,
berries,1,1,1,and similar small fruits not given dedicated rows. the shared chemistry across this family is ester-driven fruity-acidic profile with   and trace  . the gat can learn this as an umbrella concept that defers to specific berry rows
black bean,0,1,1,black beans develop characteristic 2-pentylfuran
black pepper,3,1,4,. beta-caryophyllene is present in both pepper and strawberry — a minor bridge that's chemistry-real but secondary to strawberry's dominant ester profile | drives the heat through trpv1 receptors | methyl butyrate | the sweet-acid balance is the larger reason that pairing works. the cacio e pepe tradition is umami-bridge through cheese   plus pepper's  .
black tea,0,3,0,
blackberry,1,1,1,2-heptanone
blackcurrant,0,2,2,4-mmp | thiol
blue cheese,0,1,1,2-heptanone
blueberry,2,1,0,
bonito,1,1,0,
bread,3,1,0,
brie,1,0,1,apple acid
broccoli,0,1,1,dimethyl trisulfide
brown butter,0,2,1,diacetyl
brown sugar,1,1,1,5-10% by weight
brussels sprouts,0,1,1,which makes them more bitter but also more chemically interesting when roasted. the modern brussels-bacon-balsamic combination amplifies sweet-acid balancing against the bitter   — high-heat roasting drives maillard chemistry that masks the cabbage-like notes.
butter,0,1,2,butyric acid | diacetyl
cabbage,1,0,0,
cantaloupe,1,1,0,
caper,0,0,1,methyl isothiocyanate
capers,0,0,2,combined with brine fermentation. the classic salmon-caper-lemon-dill combo works through multiple principles: cleanse-palate from acid | shared c9 aldehydes
caramel,2,0,1,diacetyl
caraway,1,2,0,
cardamom,2,0,1,alpha-terpinyl acetate
carrot,0,0,1,beta-carotene
cashew,0,1,1,hexanal
cauliflower,0,1,1,dimethyl trisulfide
cayenne,1,1,1,pure capsaicin heat through trpv1 receptors
celery,1,0,2,3-butylphthalide | beta-selinene
celery seed,1,0,2,3-butylphthalide | sedanolide
chamomile,2,1,1,angelic-acid
cheddar,0,2,1,diacetyl
cheese,1,2,3,diacetyl | generic 'cheese' captures shared dairy fermentation chemistry across styles — lactic acid | the yamaguchi 1967 synergy mechanism
cherry,2,1,0,
chervil,1,0,2,1-allyl-2 | 4-dimethoxybenzene
chestnut,0,2,0,
chia seed,0,0,1,alpha-linolenic acid
chicken,1,1,0,
chickpea,0,2,1,chickpeas develop mild   and 2-pentylfuran when cooked — same compound families as cooked grains
chili,1,1,2,capsaicin triggers trpv1 heat receptors — the same family as black pepper's   but a substantially more potent agonist. chili-chocolate | with capsaicin amplifying cocoa's bitter complexity through receptor-level interaction. fresh chilies retain hexenal 'green' character
chive,0,1,0,
chives,1,1,0,
chocolate,0,1,2,and the rose-like 2-phenylethanol | roasted cocoa contains an estimated 600
cilantro,3,0,0,
cinnamon,3,0,0,
clove,1,0,2,beta-caryophyllene | eugenyl acetate
cocoa,0,1,1,2-phenylethylamine
coconut,1,0,1,gamma-octalactone
coconut milk,1,0,2,delta-octalactone | gamma-octalactone give coconut milk its characteristic creamy lactone signature — same compound family as dairy cream
coconut oil,0,2,2,delta-decalactone | gamma-octalactone are coconut oil's signature   — these are the same compound family in dairy
coffee,0,2,1,furfurylthiol
coriander,1,0,1,~70% of oil
corn,0,1,3,dimethyl sulfide is corn's signature compound — strongest in sweet corn | is built on sweet-acid amplification across multiple axes | with cilantro's c6 aldehydes bridging to corn's grassy hexanal. corn-butter works through butter's   cutting corn's sulfur while complementing its natural sweetness.
crab,0,2,1,crab shares the crustacean signature chemistry with shrimp and lobster — 2-acetyl-2-thiazoline
cranberry,0,1,0,
cream,0,1,1,diacetyl
cream cheese,0,1,1,high fat — cream cheese is the textural and acid-buffer member of the dairy section. the bagel-lox tradition
cucumber,2,0,0,
cumin,1,1,1,cuminaldehyde
curry leaf,0,1,1,beta-caryophyllene
curry powder,1,0,1,cuminaldehyde
custard,1,2,1,60-85°c window
dark chocolate,0,2,0,
date,0,1,1,5-hmf
dill,2,0,1,alpha-phellandrene
duck,2,2,1,duck has 2-3x the fat of chicken
edamame,0,0,1,green hexanal chemistry without the long cooking that develops mature soybean's protein-fermentation potential. japanese edamame
egg,0,1,1,hydrogen sulfide
eggplant,1,1,0,
elderflower,1,0,1,cis-rose oxide
fennel,3,0,0,
fennel pollen,2,0,0,
feta,0,1,1,lactic acid
fig,3,0,0,
fish sauce,1,1,0,
flour,0,2,0,
galangal,1,0,1,galangal acetate
garlic,2,0,1,allyl methyl sulfide
gentian,1,0,0,
