name,tier1_aroma,tier2_taste,tier3_mouthfeel,leaves,sources,key_pairings,pairing_principles,chemistry_notes
chicken stock,,umami|sour,tender,,ai-draft;gnn-v3+flavordb,dry sherry|white wine|andouille sausage|sour cream|red wine vinegar|buttermilk|cider vinegar,,
lemon juice,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,tahini|tomato|anchovy|parmesan|chicken stock|mushroom|tomato paste,,
chili powder,,bitter|sour|umami,powdery,,ai-draft;gnn-v3+flavordb,kidney bean|cumin|pinto bean|black bean|tomato sauce|red kidney bean|dark red kidney bean,,
cayenne pepper,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,leaf oregano|file powder|onion powder|rub|cumin|andouille sausage|paprika,,
powdered sugar,,sour|sweet|umami,powdery,,ai-draft;gnn-v3+flavordb,carbonated water|port|digestive biscuit|cream cheese|coffee creamer|chocolate|instant lemon pudding,,
cornstarch,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,dulce de leche|soy sauce|chicken bullion|pork blade|oyster sauce|sesame dressing|graham crumb,,
boiling water,,sour|sweet|umami,oily,,ai-draft;gnn-v3+flavordb,strawberry jello|porcini|lemon jello|bulgur|lemon gelatin|lime gelatin|o gelatin,,
bay leaf,,,crisp,,ai-draft;gnn-v3+flavordb,peppercorn|black peppercorn|tomato paste|file powder|beef stock|turkey carcass|andouille sausage,,
rice vinegar,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,soy sauce|sesame oil|miso|fish sauce|dark sesame oil|hoisin|cucumber,,
freshly black pepper,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,extra-virgin olive oil|canola mayonnaise|freshly squeezed lemon juice|sherry vinegar|niçoise olive|petite green pea|gruyère cheese,,
lime juice,fatty,sour|umami,smooth,,ai-draft;gnn-v3+flavordb,fish sauce|cilantro|tequila|avocado|jalapeno chile|mangoe|red curry,,
baking powder,,,powdery,,ai-draft;gnn-v3+flavordb,baking soda|vanilla|flour|egg|molasse|sugar|buttermilk,,
beef stock,fatty,,tender,,ai-draft;gnn-v3+flavordb,chuck roast|beef stew meat|stewing beef|beef chuck|boneless beef chuck roast|beef tenderloin|lean stewing beef,,
dressing,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,romaine lettuce|lettuce|apricot preserve|torn romaine lettuce|torn spinach leave|spring lettuce mix|purple cabbage,,
tabasco sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,worcestershire sauce|box wheat chex|clamato juice|perrins sauce|garlic juice|brown sugar|boiling water,,
buttermilk,,sour|sweet|umami,oily,mild|sour|bitter|grassy|very mild|odorless|fatty,ai-draft;gnn-v3+flavordb,baking soda|baking powder|milky|blackberry jam|orange candy|cornmeal|chicken,,
extra-virgin olive oil,woody,,oily,,ai-draft;gnn-v3+flavordb,freshly black pepper|flat-leaf parsley|niçoise olive|sherry vinegar|flat-leaf|freshly pepper|red wine vinegar,,
cider vinegar,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,tomato|pickling salt|chicken|celery seed|mustard|chicken stock|beef,,
vegetable,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,stir-fry sauce|brown sugar|worcestershire sauce|boiling water|maple syrup|powdered sugar|cracker crumb,,
baking soda,,,,,ai-draft;gnn-v3+flavordb,baking powder|vanilla|flour|buttermilk|cinnamon|brown sugar|wheat flour,,
vinegar,,bitter|sour|umami,,solvent|spice|herbal|sharp|fruity|dairy|green,ai-draft;gnn-v3+flavordb,pickling spice|salad oil|mustard|white mustard seed|canning salt|wax bean|butter bean,,
barbecue sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,pork baby back rib|pork|beef brisket|liquid smoke|pork back rib|pork rib|wheat sandwich roll,,
garlic salt,,sour|sweet|umami,crystalline,,ai-draft;gnn-v3+flavordb,box wheat chex|english cheese spread|morton tender quick salt|hickory smoked salt|hickory smoke salt|english cheese|onion salt,,
apple cider vinegar,,umami,crisp,,ai-draft;gnn-v3+flavordb,light-brown sugar|red pepper|tomato|red cabbage|chicken stock|beef|yellow mustard seed,,
chili sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,grape jelly|worcestershire sauce|cranberry sauce|grape jam|currant jelly|ketchup|beef brisket,,
white pepper,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,shaoxing wine|black mushroom|chinese rice wine|bay leaf powder|powdered thyme|chinese mushroom|seafood stock,,
salad oil,,bitter|sour|umami,oily,,ai-draft;gnn-v3+flavordb,vinegar|wine vinegar|wax bean|yellow wax bean|salad vinegar|yellow bean|green pepper,,
green chilie,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,flour tortilla|corn tortilla|enchilada sauce|monterey jack cheese|green enchilada sauce|longhorn cheese|cumin,,
whipped cream,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,coffee|chocolate shaving|chocolate curl|peppermint schnapp|fudge sauce|chocolate syrup|dish pie pastry,,
vanilla ice cream,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,chocolate syrup|chocolate sauce|oreo cookie|chocolate fudge topping|banana liqueur|fudge sauce|raspberry sorbet,,
curry,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,black mustard seed|fenugreek|turmeric|mustard seed|tamarind pulp|coconut milk|fluid coconut milk,,
egg yolk,woody,,,,ai-draft;gnn-v3+flavordb,dulce de leche|puff pastry|cream|pastry cream|egg white|lemon filling|hollandaise sauce,,
italian sausage,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,mozzarella|lasagna noodle|rigatoni pasta|parmesan|ricotta|pasta sauce|tomato paste,,
plain yogurt,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,tandoori paste|lamb|green cardamom pod|black cardamom pod|fish sauce|turmeric|worcestershire sauce,,
egg white,,,,,ai-draft;gnn-v3+flavordb,cream of tartar|carbonated water|cake flour|egg yolk|almond paste|vanilla|unsweetened applesauce,,
gingerroot,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,sesame dressing|soy sauce|hoisin|rice vinegar|snow pea|lite coconut milk|turmeric,,
light corn syrup,,bitter|sour|umami,viscous,,ai-draft;gnn-v3+flavordb,popcorn|bittersweet|peanut|golden grahams cereal|chocolate glaze|boiling water|popcorn kernel,,
peanut oil,,sour|sweet|umami,oily,,ai-draft;gnn-v3+flavordb,oyster sauce|soy sauce|chinese egg noodle|fish sauce|chinese broccoli|chili bean sauce|hokkien noodle,,
cream of tartar,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,egg white|cake flour|meringue powder|baking soda|vanilla|butterscotch chip|whipped topping,,
corn syrup,,bitter|sour|umami,viscous,,ai-draft;gnn-v3+flavordb,popcorn|puffed wheat cereal|worcestershire sauce|boiling water|chili powder|tabasco sauce|chili sauce,,
cornmeal,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,cream-style corn|catfish fillet|buttermilk|catfish|cream-style|green tomatoe|sweet milk,,
jalapeño,,,,,ai-draft;gnn-v3+flavordb,cilantro|lime juice|black bean|avocado|cumin|lime|avocadoe,,
onion powder,green,,powdery,,ai-draft;gnn-v3+flavordb,leaf oregano|brunoise red pepper|cayenne pepper|rub|nutritional yeast|paprika|liquid smoke,,
vegetable stock,,,,,ai-draft;gnn-v3+flavordb,red lentil|risotto rice|saffron|butternut squash|brown lentil|seitan|quinoa,,
nut,,,crunchy,,ai-draft;gnn-v3+flavordb,date|pineapple|raisin|coconut|pistachio pudding|pistachio instant pudding|chocolate bit,,
coarse salt,,sour|sweet|umami,crystalline,,ai-draft;gnn-v3+flavordb,sanding sugar|light-brown sugar|freshly pepper|white quinoa|rice-wine vinegar|chicken|powdered sugar,,
freshly pepper,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,extra-virgin olive oil|freshly salt|red wine vinegar|freshly parmigiano-reggiano cheese|flat-leaf parsley|sherry vinegar|coarse salt,,
greek yogurt,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,weight chicken|tandoori paste|lamb|chia seed|harissa paste|fish sauce|worcestershire sauce,,
pork sausage,,sour|sweet|umami,tender,,ai-draft;gnn-v3+flavordb,cocktail rye bread|party rye bread|biscuit/baking mix|noodle soup|cheddar|buttermilk biscuit mix|brown sugar,,
graham cracker crumb,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,butterscotch chip|condensed milk|butterscotch bit|cream cheese|dream whip|flaked coconut|chocolate,,
italian seasoning,,,,,ai-draft;gnn-v3+flavordb,mozzarella|basil|mushroom|tomato sauce|oregano|tomato paste|red pepper,,
salsa,,,,,ai-draft;gnn-v3+flavordb,cumin|crema mexicana|chili powder|cheese|olive|avocado|cilantro,,
baby spinach,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,tandoori paste|feta|refrigerated cheese tortellini|haloumi cheese|promise buttery spread|raspberry vinaigrette|sweet orange pepper,,
condensed cream,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,brown potatoe|mushroom stem|condensed chicken|bread stuffing mix|buttery round cracker|chicken|chicken stuffing mix,,
allspice,fatty,,,sweet|new mown hay|green|tonka|bitter|prune|cananga,ai-draft;gnn-v3+flavordb,apple filling|blackberry jam|apple cider|pumpkin puree|sweet apple cider|scotch bonnet|applesauce,,
sesame,,sour|sweet|umami,,bland|sweet|new mown hay|green|tonka|bitter|prune,ai-draft;gnn-v3+flavordb,sesame oil|rice vinegar|korean red pepper|dark sesame oil|gochujang|ramen noodle|mirin,,
