name,tier1_aroma,tier2_taste,tier3_mouthfeel,leaves,sources,key_pairings,pairing_principles,chemistry_notes
wormwood,green,bitter,dry,bitter|herbal|anise|green|woody|medicinal,curated-2026;tgsc;chem-lit,gin|fennel seed|tarragon|caraway seed|coriander seed,thujone + anise-side terpenes link it to other botanical bitters; the absinthe/vermouth backbone,"dominant=alpha-thujone & beta-thujone (CO-DOMINANT; near-identical SMILES but keep DISTINCT - do not dedup); + chamazulene; CIDs: alpha-thujone=12304612, beta-thujone=91456, chamazulene=10719"
yarrow,green,bitter,dry,herbal|green|bitter|camphor|sweet|hay,curated-2026;tgsc;chem-lit,gin|tarragon|fennel seed|bay leaf,azulene + pinene/sabinene tie it to juniper (gin) and green-bitter botanicals,"dominant=chamazulene, beta-pinene, sabinene, 1,8-cineole; CIDs: 1,8-cineole=2758, beta-pinene=14896, chamazulene=10719, sabinene=18818"
sarsaparilla,woody,sweet|bitter,,woody|root|sweet|vanilla|medicinal|earthy,curated-2026;tgsc;chem-lit,cane sugar|bourbon|allspice|vanilla ice cream,sassafras-type phenolics + saponins; bridges sweet + warm-spice + aged spirit (root-beer axis),dominant=sarsapogenin & smilagenin (EPIMERS - keep DISTINCT; SMILES-dedup would collapse them); + saponins
ambrette,floral,,,musky|floral|fruity|wine|sweet|ambrette,curated-2026;tgsc;chem-lit,brandy|cognac|apricot,macrocyclic musk fixes and rounds florals; affinity to aged spirits and stone fruit,dominant=ambrettolide (macrocyclic musk lactone); + farnesol
basil,green,spicy|sweet,,green|anise|clove|sweet|herbal|peppery,curated-2026;tgsc;chem-lit,extra-virgin olive oil|pine nut|tomato juice|marinara sauce,linalool + estragole + eugenol; shares an anise axis with tarragon and a clove axis with allspice,"dominant=linalool, estragole (methyl chavicol), eugenol; CIDs: estragole=8815, eugenol=3314, linalool=6549, methyl chavicol=8815"
oregano,woody,bitter|spicy,,herbal|woody|camphor|warm|pungent|green,curated-2026;tgsc;chem-lit,marinara sauce|tomato juice|extra-virgin olive oil|pizza sauce|italian seasoning,carvacrol/thymol phenolics bond it to thyme and marjoram (terpinene overlap),"dominant=carvacrol, thymol, p-cymene, gamma-terpinene; CIDs: carvacrol=10364, thymol=6989"
thyme,woody,spicy|bitter,,herbal|woody|thyme|warm|medicinal|green,curated-2026;tgsc;chem-lit,chicken stock|extra-virgin olive oil|bay leaf|marjoram|butternut squash,thymol phenol shared with oregano; terpinen-4-ol bridges to marjoram and rosemary,"dominant=thymol, p-cymene, linalool, carvacrol; CIDs: carvacrol=10364, linalool=6549, thymol=6989"
rosemary,woody,bitter,,pine|woody|camphor|herbal|resinous|eucalyptus,curated-2026;tgsc;chem-lit,extra-virgin olive oil|pork loin|red potatoe|chicken stock|butternut squash,cineole + camphor + pinene; the pine/resin axis links it to juniper (gin) and sage,"dominant=1,8-cineole (eucalyptol), camphor, alpha-pinene; CIDs: 1,8-cineole=2758, alpha-pinene=6654, camphor=2537, eucalyptol=2758"
sage,woody,bitter,,herbal|camphor|woody|warm|eucalyptus|pine,curated-2026;tgsc;chem-lit,butternut squash|pork loin|sweet butter|pasta sauce|chicken stock,thujone + camphor + cineole; the brown-butter and winter-squash partner,"dominant=alpha/beta-thujone, 1,8-cineole, camphor (thujone shared with wormwood); CIDs: 1,8-cineole=2758, beta-thujone=91456, camphor=2537"
dill,green,,,green|grassy|anise|fresh|caraway|herbal,curated-2026;tgsc;chem-lit,dill pickle|cider vinegar|sherry vinegar|white fish|greek yogurt,carvone + phellandrene; caraway-adjacent (shared carvone); brightens fish and cream,"dominant=carvone, alpha-phellandrene, limonene; CIDs: carvone=7439, limonene=22311"
mint,green,,,minty|cooling|green|menthol|sweet|fresh,curated-2026;tgsc;chem-lit,chocolate syrup|lime juice|greek yogurt|simple syrup|cane sugar,"menthol/carvone give a cooling counterpoint to chocolate, citrus and yogurt","dominant=menthol (peppermint) or carvone (spearmint), menthone; CIDs: carvone=7439, menthol=16666"
cilantro,green,,,green|citrus|soapy|fresh|aldehyde|herbal,curated-2026;tgsc;chem-lit,lime juice|jalapeño|serrano pepper|salsa,(E)-2-alkenal aldehydes give the green-soapy note; the canonical lime + chile partner,"dominant=(E)-2-decenal, decanal, linalool; CIDs: (e)-2-decenal=5283345, decanal=8175, linalool=6549"
lemongrass,green,,,citrus|lemon|green|grassy|fresh|ginger,curated-2026;tgsc;chem-lit,red curry|light coconut milk|unsweetened coconut milk|ginger paste,citral lemon top note; the SE-Asian curry backbone with galangal and coconut,"dominant=citral (geranial + neral), myrcene; CIDs: citral=638011"
kaffir lime leaf,green,,,citrus|lime|green|floral|fresh|peel,curated-2026;tgsc;chem-lit,red curry|unsweetened coconut milk|light coconut milk|ginger paste,citronellal gives lime-peel lift in coconut curries,"dominant=citronellal, sabinene, citronellol; CIDs: citronellal=7794, citronellol=8842, sabinene=18818"
cinnamon,woody,sweet|spicy,,sweet|woody|warm|spicy|cinnamon|balsamic,curated-2026;tgsc;chem-lit,allspice|cane sugar|pumpkin puree|raisin|golden brown sugar,cinnamaldehyde anchors a warm-sweet phenolic axis with clove (eugenol) and nutmeg,"dominant=cinnamaldehyde; + eugenol, coumarin; CIDs: cinnamaldehyde=637511, coumarin=323, eugenol=3314"
clove,woody,spicy|bitter,,clove|warm|woody|sweet|eugenol|medicinal,curated-2026;tgsc;chem-lit,allspice|cane sugar|pumpkin pie spice|golden brown sugar,eugenol - the same phenol that anchors allspice; numbing warm-spice,"dominant=eugenol (PubChem CID 3314), eugenyl acetate, beta-caryophyllene"
nutmeg,woody,spicy|bitter,,warm|woody|sweet|spicy|nutmeg|terpenic,curated-2026;tgsc;chem-lit,pumpkin pie spice|pumpkin puree|condensed milk|allspice,"sabinene + myristicin; warm spice for cream, squash and custard","dominant=sabinene, alpha-pinene, myristicin; CIDs: alpha-pinene=6654, myristicin=4276, sabinene=18818"
cardamom,woody,spicy|sweet,,green|camphor|citrus|warm|sweet|eucalyptus,curated-2026;tgsc;chem-lit,ghee|coriander powder|cumin powder|garam masala|ginger paste,terpinyl acetate + cineole; backbone of masala and Scandinavian baking,"dominant=alpha-terpinyl acetate, 1,8-cineole, linalool; CIDs: 1,8-cineole=2758, linalool=6549"
