name,verified_compounds,class_terms,unverified_candidates,candidate_list
allspice,1,0,0,
tarragon,2,0,0,
marjoram,2,0,0,
fenugreek,1,0,1,curry lactone
wormwood,3,0,0,
yarrow,4,0,0,
sarsaparilla,0,1,0,
ambrette,0,0,2,ambrettolide | macrocyclic musk lactone
basil,4,0,0,
oregano,2,0,1,gamma-terpinene
thyme,3,0,0,
rosemary,4,0,0,
sage,3,0,0,
dill,2,0,1,alpha-phellandrene
mint,2,0,0,
cilantro,3,0,0,
lemongrass,1,0,0,
kaffir lime leaf,3,0,0,
cinnamon,3,0,0,
clove,1,0,2,beta-caryophyllene | eugenyl acetate
nutmeg,3,0,0,
cardamom,2,0,1,alpha-terpinyl acetate
garlic,2,0,1,allyl methyl sulfide
onion,1,0,1,dipropyl disulfide
tomato,2,0,1,beta-ionone
parmesan,1,1,1,butyric acid
mushroom,3,0,0,
pesto,3,0,0,
lemon,3,0,0,
orange,3,0,0,
grapefruit,2,0,1,1-p-menthene-8-thiol
bergamot,3,0,0,
yuzu,2,0,0,
lime,2,0,0,
mandarin,1,0,2,gamma-terpinene | methyl n-methylanthranilate
apple,1,0,2,2-methylbutyl acetate | hexyl acetate
pear,0,0,3,4-decadienoate | ethyl | hexyl acetate
quince,0,1,0,
strawberry,2,0,1,ethyl butanoate
raspberry,2,1,0,
blackberry,1,1,1,2-heptanone
blueberry,2,1,0,
fig,3,0,0,
date,0,1,1,5-hmf
pomegranate,0,2,0,
passion fruit,0,2,1,ethyl hexanoate
potato,2,1,0,
sweet potato,2,0,1,beta-ionone
carrot,0,0,1,beta-carotene
celery,1,0,2,3-butylphthalide | beta-selinene
cucumber,2,0,0,
almond,1,0,1,hexanal
hazelnut,0,1,0,
walnut,1,1,0,
pecan,0,1,1,hexanal
pistachio,0,2,0,
cashew,0,1,1,hexanal
macadamia,0,1,1,hexanal
chestnut,0,2,0,
pumpkin seed,0,1,1,hexanal
hemp seed,0,1,1,hexanal
chia seed,0,0,1,alpha-linolenic acid
rose,3,0,0,
lavender,3,0,0,
jasmine,4,0,0,
orange blossom,2,0,0,
elderflower,1,0,1,cis-rose oxide
hibiscus,0,1,0,
chamomile,2,1,1,angelic-acid
red bell pepper,0,0,2,2-isobutyl-3-methoxypyrazine | beta-ionone
zucchini,1,0,1,hexanal
eggplant,1,1,0,
asparagus,0,0,3,asparagusic acid | dimethyl sulfide | methanethiol
avocado,1,1,0,
star anise,1,0,1,trans-
anise seed,2,0,0,
mace,2,0,0,
juniper berry,2,0,0,
sumac,0,1,1,malic acid
paprika,1,1,0,
smoked paprika,2,0,0,
turmeric,1,0,0,
saffron,1,0,0,
nigella seed,1,0,0,
celery seed,1,0,2,3-butylphthalide | sedanolide
galangal,1,0,1,galangal acetate
horseradish,1,0,0,
wasabi,1,0,1,6-mitc
pink peppercorn,0,0,1,alpha-phellandrene
sichuan peppercorn,2,0,0,
vanilla,2,0,0,
annatto,2,0,1,geranyl
shallot,0,1,0,
leek,0,1,0,
scallion,0,1,0,
fennel,3,0,0,
cauliflower,0,1,1,dimethyl trisulfide
pineapple,1,1,1,methyl
mango,0,1,0,
banana,2,0,0,
coconut,1,0,1,gamma-octalactone
papaya,1,1,1,benzyl isothiocyanate
lychee,1,0,1,cis-rose oxide
guava,1,2,0,
kiwi,1,0,1,ethyl butanoate
watermelon,1,0,1,6-nonadienal
cantaloupe,1,1,0,
peach,3,0,0,
nectarine,1,1,0,
plum,2,1,0,
cherry,2,1,0,
blackcurrant,0,2,2,4-mmp | thiol
rhubarb,1,0,0,
prune,2,0,1,3-methylbutanal
cranberry,0,1,0,
spinach,2,0,0,
kale,0,1,0,
broccoli,0,1,1,dimethyl trisulfide
green bean,2,0,0,
pea,1,0,1,3-isopropyl-2-methoxypyrazine
coffee,0,2,1,furfurylthiol
cocoa,0,1,1,2-phenylethylamine
dark chocolate,0,2,0,
miso,1,2,0,
soy sauce,1,0,0,
fish sauce,1,1,0,
oyster sauce,1,1,0,
worcestershire sauce,1,0,0,
anchovy,2,1,0,
caper,0,0,1,methyl isothiocyanate
olive,1,0,0,
nori,1,0,1,dimethyl sulfide
bacon,1,2,0,
mozzarella,0,0,2,diacetyl | lactic acid
ricotta,0,0,1,lactic acid
