name,tier1_aroma,tier2_taste,tier3_mouthfeel,leaves,sources,key_pairings,pairing_principles,chemistry_notes
chicken stock,,umami|sour,tender,,ai-draft;gnn-v3+flavordb,dry sherry|white wine|andouille sausage|sour cream|red wine vinegar|buttermilk|cider vinegar,,"confidence=low (taste=GNN default, needs human review)"
lemon juice,,sour,smooth,,ai-draft;gnn-v3+flavordb,tahini|tomato|anchovy|parmesan|chicken stock|mushroom|tomato paste,,
chili powder,,bitter|sour|umami,powdery,,ai-draft;gnn-v3+flavordb,kidney bean|cumin|pinto bean|black bean|tomato sauce|red kidney bean|dark red kidney bean,,"confidence=low (taste=GNN default, needs human review)"
cayenne pepper,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,leaf oregano|file powder|onion powder|rub|cumin|andouille sausage|paprika,,"confidence=low (taste=GNN default, needs human review)"
powdered sugar,,sweet,powdery,,ai-draft;gnn-v3+flavordb,carbonated water|port|digestive biscuit|cream cheese|coffee creamer|chocolate|instant lemon pudding,,
cornstarch,,,,,ai-draft;gnn-v3+flavordb,dulce de leche|soy sauce|chicken bullion|pork blade|oyster sauce|sesame dressing|graham crumb,,
boiling water,,,oily,,ai-draft;gnn-v3+flavordb,strawberry jello|porcini|lemon jello|bulgur|lemon gelatin|lime gelatin|o gelatin,,
bay leaf,,,crisp,,ai-draft;gnn-v3+flavordb,peppercorn|black peppercorn|tomato paste|file powder|beef stock|turkey carcass|andouille sausage,,
rice vinegar,,sour,,,ai-draft;gnn-v3+flavordb,soy sauce|sesame oil|miso|fish sauce|dark sesame oil|hoisin|cucumber,,
freshly black pepper,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,extra-virgin olive oil|canola mayonnaise|freshly squeezed lemon juice|sherry vinegar|niçoise olive|petite green pea|gruyère cheese,,"confidence=low (taste=GNN default, needs human review)"
lime juice,fruity,sour,smooth,,ai-draft;gnn-v3+flavordb,fish sauce|cilantro|tequila|avocado|jalapeno chile|mangoe|red curry,,
baking powder,,,powdery,,ai-draft;gnn-v3+flavordb,baking soda|vanilla|flour|egg|molasse|sugar|buttermilk,,
beef stock,fatty,,tender,,ai-draft;gnn-v3+flavordb,chuck roast|beef stew meat|stewing beef|beef chuck|boneless beef chuck roast|beef tenderloin|lean stewing beef,,
dressing,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,romaine lettuce|lettuce|apricot preserve|torn romaine lettuce|torn spinach leave|spring lettuce mix|purple cabbage,,"confidence=low (taste=GNN default, needs human review)"
tabasco sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,worcestershire sauce|box wheat chex|clamato juice|perrins sauce|garlic juice|brown sugar|boiling water,,"confidence=low (taste=GNN default, needs human review)"
buttermilk,,sour|sweet|umami,oily,mild|sour|bitter|grassy|very mild|odorless|fatty,ai-draft;gnn-v3+flavordb,baking soda|baking powder|milky|blackberry jam|orange candy|cornmeal|chicken,,"confidence=low (taste=GNN default, needs human review)"
extra-virgin olive oil,woody,,oily,,ai-draft;gnn-v3+flavordb,freshly black pepper|flat-leaf parsley|niçoise olive|sherry vinegar|flat-leaf|freshly pepper|red wine vinegar,,
cider vinegar,,sour,,,ai-draft;gnn-v3+flavordb,tomato|pickling salt|chicken|celery seed|mustard|chicken stock|beef,,
vegetable,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,stir-fry sauce|brown sugar|worcestershire sauce|boiling water|maple syrup|powdered sugar|cracker crumb,,"confidence=low (taste=GNN default, needs human review)"
baking soda,,,,,ai-draft;gnn-v3+flavordb,baking powder|vanilla|flour|buttermilk|cinnamon|brown sugar|wheat flour,,
vinegar,,sour,,solvent|spice|herbal|sharp|fruity|dairy|green,ai-draft;gnn-v3+flavordb,pickling spice|salad oil|mustard|white mustard seed|canning salt|wax bean|butter bean,,
barbecue sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,pork baby back rib|pork|beef brisket|liquid smoke|pork back rib|pork rib|wheat sandwich roll,,"confidence=low (taste=GNN default, needs human review)"
garlic salt,,sour|sweet|umami,crystalline,,ai-draft;gnn-v3+flavordb,box wheat chex|english cheese spread|morton tender quick salt|hickory smoked salt|hickory smoke salt|english cheese|onion salt,,"confidence=low (taste=GNN default, needs human review)"
apple cider vinegar,,sour,crisp,,ai-draft;gnn-v3+flavordb,light-brown sugar|red pepper|tomato|red cabbage|chicken stock|beef|yellow mustard seed,,
chili sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,grape jelly|worcestershire sauce|cranberry sauce|grape jam|currant jelly|ketchup|beef brisket,,"confidence=low (taste=GNN default, needs human review)"
white pepper,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,shaoxing wine|black mushroom|chinese rice wine|bay leaf powder|powdered thyme|chinese mushroom|seafood stock,,"confidence=low (taste=GNN default, needs human review)"
